dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
2022-05-02,2,5,2022,784,0,Ireland,IE,IRL,4964440,Europe
2022-05-02,2,5,2022,87116,133,Germany,DE,DEU,83166711,Europe
2022-05-02,2,5,2022,8737,180,France,FR,FRA,67320216,Europe
2022-05-03,3,5,2022,0,0,Hungary,HU,HUN,9769526,Europe
2022-05-03,3,5,2022,106908,106,Germany,DE,DEU,83166711,Europe
2022-05-03,3,5,2022,1116,14,Romania,RO,ROU,19328838,Europe
2022-05-03,3,5,2022,13,0,Liechtenstein,LI,LIE,38747,Europe
2022-05-03,3,5,2022,1378,6,Czechia,CZ,CZE,10693939,Europe
2022-05-03,3,5,2022,16499,26,Portugal,PT,PRT,10295909,Europe
2022-05-03,3,5,2022,1659,3,Slovenia,SI,SVN,2095861,Europe
2022-05-03,3,5,2022,175,2,Malta,MT,MLT,514564,Europe
2022-05-03,3,5,2022,1755,6,Netherlands,NL,NLD,17407585,Europe
2022-05-03,3,5,2022,216,0,Iceland,IS,ISL,364134,Europe
2022-05-03,3,5,2022,250,2,Lithuania,LT,LTU,2794090,Europe
2022-05-03,3,5,2022,258,9,Estonia,EE,EST,1328976,Europe
2022-05-03,3,5,2022,3138,10,Finland,FI,FIN,5525292,Europe
2022-05-03,3,5,2022,333,0,Norway,NO,NOR,5367580,Europe
2022-05-03,3,5,2022,384,7,Latvia,LV,LVA,1907675,Europe
2022-05-03,3,5,2022,4262,44,Greece,EL,GRC,10718565,Europe
2022-05-03,3,5,2022,455,10,Sweden,SE,SWE,10327589,Europe
2022-05-03,3,5,2022,491,5,Ireland,IE,IRL,4964440,Europe
2022-05-03,3,5,2022,549,5,Croatia,HR,HRV,4058165,Europe
2022-05-03,3,5,2022,5503,13,Belgium,BE,BEL,11522440,Europe
2022-05-03,3,5,2022,57329,62,Spain,ES,ESP,47332614,Europe
2022-05-03,3,5,2022,62409,153,Italy,IT,ITA,59641488,Europe
2022-05-03,3,5,2022,67017,120,France,FR,FRA,67320216,Europe
2022-05-03,3,5,2022,7071,14,Austria,AT,AUT,8901064,Europe
2022-05-03,3,5,2022,720,2,Bulgaria,BG,BGR,6951482,Europe
2022-05-03,3,5,2022,797,1,Luxembourg,LU,LUX,626108,Europe
2022-05-03,3,5,2022,797,10,Poland,PL,POL,37958138,Europe
2022-05-03,3,5,2022,922,5,Slovakia,SK,SVK,5457873,Europe
2022-05-03,3,5,2022,993,15,Denmark,DK,DNK,5822763,Europe
2022-05-04,4,5,2022,,66,Spain,ES,ESP,47332614,Europe
